index,Label,brand,name,price,ingredients,Combination,Dry,Normal,Oily,X,Y,dist
432,SPF_Oily,DR. JART+,Dis-A-Pore Beauty Balm SPF 50+,['36'],"-Titanium Dioxide, Octinoxate, and Octisalate: Protects against sun damage.

Water, Cyclopentasiloxane, Titanium Dioxide, Dimethicone/Vinyl Dimethicone Crosspolymer, Ethylhexyl Methoxycinnamate, Isododecane, Ethylhexyl Salicylate, Lauryl PEG-10 Tris(Trimethylsiloxy)Silylethyl Dimethicone, Dimethicone, Niacinamide, Methylpropanediol, Butylene Glycol Dicaprylate/Dicaprate, Synthetic Fluorphlogopite, Disteardimonium Hectorite, Glycerin, Magnesium Sulfate, Isopropyl Palmitate, Pinus Sylvestris Leaf Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Hibiscus Esculentus Fruit Extract, Hdi/Trimethylol Hexyllactone Crosspolymer, Triethoxycaprylylsilane, Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate, Polyglyceryl-4 Isostearate, Aluminum Hydroxide, Caprylyl Glycol, Glyceryl Caprylate, Ethylhexylglycerin, Trihydroxystearin, Silica, Adenosine, BHT, Tocopherol, Butylene Glycol, Alcohol, 1,2-Hexanediol, Lecithin, Pistacia Lentiscus (Mastic) Gum, Repagermanium, Iron Oxides (CI 77492), Iron Oxides (CI 77491), Iron Oxides (CI 77499).",0,0,0,1,-192.19731000000002,199.3378,42.33795388566623
431,SPF_Oily,LANCÔME,Rénergie Lift Multi-Action Day Cream with SPF 15 - All Skin Types,['102'],"-Avobenzone 3%, Octisalate 5%, Octocrylene 7%.

Water, Dimethicone, Glycerin, Hydrogenated Polyisobutene, Beeswax, Poly C10-30 Alkyl Acrylate, Sucrose Stearate, Saccharomyces/Xylinum/ Black Tea Ferment, Sodium Polyacrylate, Hydrolyzed Linseed Extract, Hydrolyzed Soy Protein, Hydrolyzed Hyaluronic Acid, Sodium Hydroxide, Sodium Benzoate, Red 4, Stearic Acid, Phenoxyethanol, Adenosine, Acetyl Tetrapeptide-9, Peg-100 Stearate, Palmitic Acid, Silicam Chlorphenesin, Yellow 5, Dimethicone/Vinyl Dimethicone Crosspolymer, Dimethiconol, Limonene, Benzyl Alcohol, Linalool, Caprylyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Geraniol, Disodium Stearoyl Glutamate, Disodium Edta, Citronellol, Aluminum Starch Octenylsuccinate, Coumarin, Glyceryl Stearate, Fragrance.",0,0,0,1,36.704456,-17.811779,68.8672288503976
439,SPF_Oily,DR. JART+,Every Sun Day™ Sun Fluid SPF 50+,['39'],"Water, Homosalate, Ethylhexyl Methoxycinnamate, Propanediol, Ethylhexyl Salicylate, Alcohol, Octocrylene, Butyl Methoxydibenzoylmethane, Benzotriazolyl Dodecyl p-Cresol, Pentylene Glycol, 1,2-Hexanediol, Lavandula Angustifolia (Lavender) Oil, Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Styrene/Acrylates Copolymer, Ethylhexylglycerin, Hydroxypropyl Methylcellulose Stearoxy Ether, Polyacrylate Crosspolymer-6, Butylene Glycol, BHT, T-Butyl Alcohol, Tocopherol.",0,0,0,1,-60.513054000000004,79.554276,69.13743547284236
395,SPF_Oily,MURAD,Oil and Pore Control Mattifier Broad Spectrum SPF 45 PA++++,['42'],"-Oil-Trapping Microspheres: Deliver a smooth, soft-skin feel and reduce shine.
-Avocado and African Yellow Wood Bark Extracts: Help control oil and reduce oiliness.
-Chemical Sunscreens: Provide broad-spectrum UVA/UVB SPF 45 protection.

Water, Tapioca Starch, Polysilicone-11, Methyl Methacrylate Crosspolymer, Propanediol Dicaprylate, Butylene Glycol, Coconut Alkanes, Cetearyl Alcohol, C20-22 Alkyl Phosphate, Enantia Chlorantha Bark Extract, Butyl Avocadate, Retinyl Palmitate, Tocopheryl Acetate, Ascorbyl Palmitate, Sodium Hyaluronate, Allantoin, Zinc Gluconate, Glycerin, Oleanolic Acid, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Coco-Caprylate/Caprate, Hydrogenated Lecithin, Coco-Glucoside, C20-22 Alcohols, Laureth-12, Polyacrylate Crosspolymer-6, Sodium Hydroxide, Disodium EDTA, Ethylhexylglycerin, Phenoxyethanol, Fragrance (Parfum), Limonene, Linalool, Citral.",0,0,0,1,-1.3660551,21.831491,71.67642856833318
441,SPF_Oily,CLINIQUE,Broad Spectrum SPF 50 Mineral Sunscreen Fluid for Face,['28'],"Titanium Dioxide 6.3% , Zinc Oxide 4.0%Water , Dimethicone , Butyloctyl Salicylate , Polydiethylsiloxane , C12-15 Alkyl Benzoate , Isononyl Isononanoate , Diethylhexyl Succinate , Neopentyl Glycol Diheptanoate , Methyl Trimethicone , Butylene Glycol , Ethylhexyl Methoxycrylene , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Silica , Dipentaerythrityl Tri-Polyhydroxystearate , Laureth-4 , Cetyl Peg/Ppg-10/1 Dimethicone , Dimethicone/Peg-10/15 Crosspolymer , Dimethicone Silylate , Hydrolyzed Wheat Protein/Pvp Crosspolymer , Triethoxycaprylylsilane , Dimethicone Crosspolymer-3 , Isostearic Acid , Caprylyl Glycol , Polyhydroxystearic Acid , Dipropylene Glycol , Phenoxyethanol , Iron Oxides (Ci 77492) , Iron Oxides (Ci 77491)",1,1,1,1,-82.20257,132.50256000000002,112.36985158691276
417,SPF_Oily,SMASHBOX,Camera Ready BB Cream SPF 35,['42'],"Octinoxate 7.50%, Octisalate 4.00%, Oxybenzone 2.50%, Titanium Dioxide 1.10%, Water, Dimethicone, Butylene Glycol, Phenyl Trimethicone, Pentylene Glycol, Glyceryl Stearate, Behenyl Alcohol, Trioctyldodecyl Citrate, Polymethylsilsesquioxane, Octyldodecyl Stearoyl Stearate, Peg-40 Stearate, Polyglyceryl-10 Pentastearate, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Triticum Vulgare (Wheat) Germ Extract, Hordeum Vulgare (Barley) Extract/Extrait D'Orge, Cucumis Sativus (Cucumber) Fruit Extract, Laminaria Saccharina Extract, Pyrus Malus (Apple) Fruit Extract, Scutellaria Baicalensis Root Extract, Polyquaternium-51, Acetyl Hexapeptide-8, Trehalose, Oryzanol, Octyldodecyl Neopentanoate, Urea, Polyglyceryl-6 Polyricinoleate, Propylene Glycol Laurate, Glycyrrhetinic Acid, Tocopheryl Acetate, Sucrose, Glycerin, Sodium Stearoyl Lactylate, Caffeine, Linoleic Acid, Cholesterol, Lecithin, Squalane, Sodium Pca, Isopropyl Titanium Triisostearate, Propylene Glycol Stearate, Stearic Acid, Polysorbate 20, Sorbitan Laurate, Xanthan Gum, Aluminum Hydroxide, Sodium Hyaluronate, Silica, Disodium Edta, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Sodium Dehydroacetate, Chlorphenesin, Phenoxyethanol, [+/- Titanium Dioxide (Ci 77891), Zinc Oxide (Ci 77947), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Mica]",0,0,0,1,-234.81918,287.17422,114.6423568361223
460,SPF_Oily,CLINIQUE,Superdefense City Block SPF 50+ Daily Energy + Face Protector,['29'],"-Titanium Dioxide, Zinc, and Octinoxate: Provide protection against UV rays (UVA and UVB).

Water\Aqua\Eau, Dimethicone, Butyloctyl Salicylate, Isononyl Isononanoate, Neopentyl Glycol Diheptanoate, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Butylene Glycol, Polydecene, Polyhydroxystearic Acid, Ethylhexyl Methoxycrylene, Hydrated Silica, Dimethicone/Vinyl Dimethicone Crosspolymer, Trimethylsiloxysilicate, Hydrolyzed Wheat Protein/Pvp Crosspolymer, Hydroxyapatite, Cetyl Peg/Ppg-10/1 Dimethicone, Dimethicone/Peg-10/15 Crosspolymer, Sodium Rna, Quaternium-90 Bentonite, Sodium Hyaluronate, Dimethicone Crosspolymer-3, Styrene/Acrylates Copolymer, Sodium Chloride, Caprylyl Glycol, Peg-8 Laurate, Propylene Carbonate, Silica, Tocopherol, Sodium Citrate, Disodium Edta, Bht, Phenoxyethanol, Potassium Sorbate, Iron Oxides (Ci 77491), Iron Oxides (Ci 77492).",0,0,0,1,-118.37162,180.9552,125.34183811322379
385,SPF_Oily,TAN-LUXE,THE GRADUAL Illuminating Gradual Tan Lotion,['33'],"-Raspberry Seed Oil: Moisturizes and conditions.
-Aloe Vera: Soothes and moisturizes.
-Cellutone Complex: Gives the look of firmer skin.

Water, Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Propylene Glycol, Dihydroxyacetone, Glyceryl Stearate, PEG-100 Stearate, Cetearyl Alcohol, Dimethicone, Erythrulose, Tocopheryl Acetate (Vitamin E Acetate), Aloe Barbedensis (Aloe) Leaf Juice, Rubus Idaeus (Raspberry) Seed Oil, Melanin, Xanthan Gum, Benzophenone-3, Benzophenone-4, Hydrolyzed Silk, Lecithin, Caffeine, Palmitoyal Carnitine, Fragrance, Limonene, Geraniol, Hexyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional, Tetrasodium EDTA, Glycerin, Caramel, Benzoic Acid, Phenoxyethanol, Dehydroacetic Acid.",1,1,1,1,161.57224,-92.01430500000001,132.1414895745511
461,SPF_Oily,MARIO BADESCU,Oil Free Moisturizer Broad Spectrum SPF 30,['28'],"-Avobenzone 3%, Octinoxate 7.5%, Octisalate 5%, Octocrylene 10%: Offer sun protection.
-Green Tea Extract: Provides antioxidant benefits.
-St. John's Wort Extract: Soothes redness.
-Aloe Vera: Hydrates and soothes.

Water, Glycerin, Aluminum Starch Octenylsuccinate, Dimethicone, Cetearyl Alcohol, Ethylhexyl Methoxycrylene, PPG-2 Myristyl Ether Propionate, C12-15 Alkyl Benzoate, Ceteareth-20, Sorbitan Oleate, Aloe Barbadensis Leaf Juice, Camellia Oleifera Leaf Extract, Hypericum Perforatum Extract, Ethylhexylglycerin, Tetrasodium Glutamate Diacetate, PEG-100 Stearate, Caprylyl Glycol, Carbomer, Fragrance, Phenoxyethanol, Sodium Hydroxide.",0,0,0,1,0.8428180000000001,71.28659,134.56187864977275
372,SPF_Oily,TAN-LUXE,THE BODY Illuminating Self-Tan Drops,['59'],"-Raspberry Seed Oil: Moisturizes and conditions.
-Aloe Vera: Soothes and moisturizes.
-Cellutone Complex: Gives skin a firmer look.

Water, Dihydroxyacetone, Alcohol Denat, (SD Alcohol 40-B), Glycerin, Rubus Idaeus (Raspberry) Seed Oil, Hydrolyzed Silk, Aloe Barbadensis (Aloe) Leaf Juice, Polysorbate 80, Erythrulose, Caramel, Xanthan Gum, Fragrance, Limonene, Geraniol, Hexyl Cinnamal, Benzyl Salicylate, Butylphenyl Methylpropional, Lecithin, Caffeine, Tocopheryl Acetate (Vitmain E Acetate), Palmitoyl Carnitine, Sodium Hydroxide, Benzoic Acid, Phenoxyethanol, Dehydroacetic Acid.",1,1,1,1,130.80403,-53.443909999999995,139.35559992774742
